short_name,overall,potential,value_eur,wage_eur,age,height_cm,weight_kg,club_team_id,league_level,position,club_jersey_number,nationality_id,nation_team_id,nation_jersey_number,weak_foot,skill_moves,international_reputation,release_clause_eur,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
D. Nistor,72,72,1400000,12000,33,174,74,308,1,CM,16,39,,,4,3,1,1900000,63,67,72,70,61,71,67,62,44,75,65,67,67,67,74,70,63,63,82,72,77,75,72,91,59,70,77,62,70,73,68,72,64,63,58,9,13,10,8,14,
Iuri Medeiros,72,72,2600000,11000,26,175,66,1896,1,SUB,45,38,,,3,4,2,5200000,74,65,70,79,34,48,71,58,45,69,69,78,82,75,65,77,79,69,86,78,90,70,61,45,41,73,67,34,67,72,64,73,36,31,26,7,8,7,9,12,
J. Meffert,72,73,2500000,10000,26,186,76,28,2,CDM,23,21,,,4,2,1,4200000,54,48,64,66,71,77,52,42,64,73,46,64,49,40,68,70,53,55,63,66,65,57,80,83,75,55,74,69,43,66,51,64,73,73,69,8,13,12,15,8,
M. Chanot,72,72,1600000,6000,31,186,84,112828,1,RCB,4,31,,,3,2,1,2400000,51,49,48,50,71,80,24,38,75,65,55,38,28,60,60,61,52,51,54,68,57,73,75,69,87,53,75,66,26,36,44,66,70,74,72,8,16,9,15,8,
F. Aristeguieta,72,72,2300000,8000,29,188,87,110152,1,ST,9,61,,,3,2,1,3800000,51,73,55,67,42,83,50,77,80,65,69,66,63,49,49,74,47,54,67,65,34,69,82,77,90,69,75,32,76,46,67,60,35,43,40,10,14,15,11,12,
Kwon Kyung Won,72,72,2000000,5000,29,188,81,981,1,LCB,3,167,,,2,2,1,2500000,64,39,61,60,72,78,55,34,68,64,36,57,36,51,71,61,67,62,69,64,55,55,77,71,85,30,71,69,51,64,41,58,73,75,72,15,13,14,14,10,
D. Rol?n,72,72,2400000,10000,28,175,70,113134,1,ST,9,60,,,4,4,2,4100000,78,69,70,73,43,69,73,69,68,71,68,71,69,68,66,72,76,80,82,74,73,72,74,71,69,65,64,38,75,69,75,72,44,39,35,14,7,7,7,14,
L. ?ztunal?,72,73,2800000,20000,25,184,79,1831,1,LCM,7,21,,,3,3,1,5300000,81,68,67,74,48,68,67,65,54,67,64,76,77,72,63,73,79,82,74,72,68,74,66,68,73,70,57,54,71,68,58,69,43,48,49,10,16,13,15,9,
I. Tajouri-Shradi,72,72,2500000,7000,27,170,64,112828,1,RM,17,123,,,4,3,1,3800000,82,70,64,75,33,57,65,71,45,66,62,73,71,66,57,74,86,78,88,64,88,75,71,68,60,70,32,26,69,63,57,64,34,32,32,15,12,11,9,14,
J. Osorio,72,72,2300000,7000,29,175,73,111651,1,RM,21,70,111455,17,5,3,1,3500000,60,68,70,74,64,67,60,69,55,78,59,73,65,65,68,73,62,59,83,74,78,71,43,86,64,66,58,66,71,70,58,74,66,65,55,8,11,7,15,13,
N. Poulsen,72,73,2400000,11000,27,180,79,271,1,CM,6,13,,,3,3,1,3200000,61,45,66,65,69,80,63,41,52,70,35,60,59,55,66,69,67,56,70,69,73,54,61,84,77,43,85,71,57,66,41,70,73,70,67,6,13,15,11,11,
M. Gersbeck,72,74,2200000,9000,26,187,83,1832,2,GK,35,21,,,3,1,1,3600000,,,,,,,18,17,15,45,19,22,14,13,40,24,41,43,39,69,52,46,64,36,57,16,36,23,15,35,24,54,14,16,15,67,74,61,73,72,42
A. Ruiz,72,72,2500000,9000,27,183,77,110394,1,RS,10,52,,,2,4,2,3600000,54,72,74,75,34,68,74,69,61,75,69,76,75,73,71,76,58,51,70,66,69,80,51,63,75,75,59,30,68,73,69,76,29,33,31,7,7,16,13,16,
P. McNair,72,77,3100000,19000,26,183,72,12,2,RCM,17,35,110081,17,3,3,1,6100000,63,62,65,67,73,76,64,58,70,68,45,67,63,58,66,68,64,62,62,72,63,69,78,81,74,68,74,72,59,64,64,66,74,74,71,14,8,11,8,14,
A. Rocha,72,72,2300000,11000,28,170,80,101114,1,RCM,26,83,,,3,3,1,3900000,70,64,70,72,69,75,60,60,45,77,50,72,68,49,70,73,71,69,69,64,83,75,46,88,70,65,80,72,62,73,74,70,74,72,64,13,13,11,12,9,
A. Selikhov,72,74,2100000,26000,27,190,85,100767,1,SUB,57,40,,,4,1,1,3500000,,,,,,,16,14,17,33,15,19,14,15,35,25,33,48,35,64,50,53,63,24,67,19,21,25,15,58,19,58,15,18,18,72,69,71,74,74,39
Ars?nio,72,72,1900000,6000,31,180,70,112513,1,LW,8,38,,,3,3,1,3900000,74,66,68,74,40,63,70,67,41,69,61,76,70,63,63,75,75,73,72,68,68,68,42,71,66,63,51,38,69,69,60,68,36,46,36,9,8,7,12,12,
A. Fransson,72,73,2700000,6000,27,180,74,702,1,RCM,7,46,,,3,3,1,3600000,68,64,68,72,67,74,62,60,60,72,62,69,64,58,70,73,66,70,76,75,78,70,71,83,71,71,72,70,67,71,47,73,68,68,65,10,7,11,10,11,
M. Uhre,72,74,2900000,13000,26,188,86,269,1,LS,11,13,,,4,2,1,3800000,89,69,50,68,33,77,41,73,65,56,54,68,52,32,41,68,87,91,73,67,61,72,72,77,83,60,64,17,77,60,62,61,37,32,28,11,15,9,9,14,
C. Su?rez,72,72,750000,4000,34,179,75,111328,1,RCB,17,55,,,4,2,1,1000000,70,38,62,62,72,73,62,33,71,69,35,57,39,39,69,65,62,76,68,71,62,45,90,71,72,31,73,72,55,55,59,71,72,73,74,9,12,9,7,14,
K. Junker,72,73,2700000,11000,27,186,73,111575,1,ST,7,13,,,3,2,1,3700000,85,71,56,68,33,70,44,76,64,61,67,66,44,36,54,70,84,86,72,68,54,70,84,70,76,63,53,33,76,67,66,72,31,28,23,14,11,6,13,9,
D. Biraschi,72,74,2600000,12000,26,182,72,110556,1,RCB,14,27,,,2,2,1,4900000,58,35,56,62,75,64,49,31,66,66,30,56,46,38,60,69,63,53,56,72,68,50,72,53,68,28,67,74,47,49,32,64,76,78,75,15,9,16,7,12,
Y. Candelo,72,72,2300000,2000,29,172,67,101100,1,RB,19,56,,,3,3,1,3100000,82,65,70,74,55,68,70,62,60,72,64,75,73,74,67,73,80,84,84,66,77,72,87,76,62,67,67,57,60,68,66,65,54,54,54,8,12,8,9,14,
D. Bocanegra,72,72,750000,850,34,182,75,111008,1,SUB,2,56,,,2,2,1,1700000,67,55,68,65,71,79,71,42,70,71,46,61,70,78,65,70,64,69,64,75,59,72,92,80,79,73,74,68,53,61,52,68,76,70,67,13,13,7,7,14,
C. Baeza,72,75,2700000,14000,27,171,64,1882,1,RCM,20,55,,,3,3,1,4800000,69,67,69,72,68,72,65,66,67,73,48,71,50,66,73,73,66,71,71,69,76,71,75,82,68,69,70,71,67,70,61,68,62,70,70,13,7,12,14,7,
F. Hinestroza,72,72,1900000,3000,31,178,70,101101,1,LM,8,56,,,3,4,1,2700000,90,63,67,74,43,66,70,54,67,69,59,77,55,66,63,70,84,94,86,69,69,76,84,68,67,76,58,54,68,66,47,62,37,29,53,6,10,9,16,9,
M. Piedrahita,72,72,525000,2000,36,175,79,101101,1,SUB,20,56,,,3,3,1,735000,73,63,70,70,66,73,70,59,58,70,52,67,72,69,68,73,70,75,68,73,74,68,73,77,73,67,67,67,61,71,69,72,65,67,68,10,9,15,12,9,
L. Villalba,72,73,2500000,10000,26,180,75,111019,1,LCB,6,52,,,2,3,1,3900000,82,56,69,70,66,67,75,50,59,71,40,70,59,59,66,71,81,82,76,70,66,67,80,73,62,66,70,71,63,65,42,58,65,65,64,8,10,14,13,15,
L. Villafa?ez,72,72,2300000,700,29,171,65,1884,1,LW,19,52,,,3,3,1,5100000,76,67,71,74,34,50,70,67,49,72,66,75,76,70,69,73,77,75,77,69,82,70,57,66,43,64,44,38,75,73,65,66,30,31,29,9,7,11,10,9,
M. Ib??ez,72,72,400000,9000,34,190,88,110581,1,GK,12,52,,,2,1,1,580000,,,,,,,15,8,15,22,12,10,16,10,18,14,38,41,33,69,44,49,57,33,74,11,27,21,13,34,24,43,18,18,17,71,72,65,73,70,39
E. Br?tez,72,72,2000000,11000,29,180,75,111716,1,CB,22,52,,,4,2,1,,74,51,59,63,71,81,64,45,70,65,42,62,44,33,66,63,73,74,69,65,58,75,76,81,80,43,85,68,55,47,46,59,71,72,77,8,11,8,12,7,
B. Alem?n,72,72,1900000,13000,31,176,79,101084,1,LCM,10,60,,,3,3,1,2900000,72,71,74,72,65,70,71,65,54,76,66,72,80,78,73,74,69,74,75,66,65,81,70,66,71,75,72,69,70,71,69,69,65,66,64,9,8,14,6,7,
D. Braghieri,72,72,750000,12000,34,186,79,110395,1,SUB,6,52,,,2,2,1,1100000,58,49,50,56,71,79,28,35,74,64,37,50,39,32,59,66,61,55,44,67,53,72,69,70,82,62,86,68,38,46,48,70,72,72,72,7,9,14,6,7,
E. Zelaya,72,72,1500000,17000,33,186,75,113217,1,ST,90,52,,,3,2,1,2500000,72,75,58,63,33,76,64,77,83,61,69,64,49,32,42,62,72,72,59,68,61,75,88,82,72,67,75,23,75,65,86,67,26,29,34,10,10,13,15,10,
P. P?rez,72,72,950000,9000,35,179,75,110396,1,SUB,8,52,,,3,3,1,1400000,56,66,73,71,69,75,69,63,62,75,62,69,67,70,71,75,59,54,66,72,67,74,64,64,73,68,95,71,67,76,64,77,68,72,69,10,7,16,15,14,
E. Kalinski,72,72,800000,10000,34,184,86,111019,1,SUB,22,52,,,4,3,1,1200000,60,51,70,69,69,77,60,45,71,73,49,70,71,67,71,72,66,55,60,65,59,59,83,73,80,57,72,69,70,72,41,68,66,70,68,7,6,14,15,8,
E. Ins?a,72,72,2000000,900,30,182,81,111707,1,LB,13,52,,,2,3,1,,73,58,62,67,70,75,64,55,67,68,30,66,33,42,65,67,71,75,67,70,65,72,76,79,70,63,81,68,63,60,41,65,69,72,71,8,11,7,14,8,
A. Donatti,72,72,750000,10000,34,192,86,1013,1,RCB,2,52,,,4,2,1,1100000,40,59,53,52,73,73,38,53,79,67,36,48,48,67,63,60,37,43,43,67,32,77,84,60,80,65,71,71,53,35,52,57,73,72,71,13,10,6,15,12,
L. Jara,72,72,2000000,10000,30,183,80,101088,1,SUB,18,52,,,3,3,1,3000000,70,51,65,69,68,74,69,41,63,67,52,69,59,40,69,71,67,73,67,69,58,64,70,80,74,62,68,70,64,63,38,67,65,70,72,8,14,13,9,6,
D. Fisher,72,73,2500000,19000,27,175,70,12,2,SUB,20,14,,,3,3,1,4900000,79,26,52,65,69,76,63,20,59,57,26,65,31,32,50,64,78,79,72,69,64,32,71,80,71,26,87,68,37,42,35,56,68,73,72,12,14,10,14,6,
M. Miazga,72,75,2800000,51000,25,193,84,463,1,SUB,4,95,1387,23,3,2,1,,51,26,47,58,73,77,25,18,73,67,34,51,27,21,62,66,53,50,57,70,42,35,63,71,83,32,75,75,27,32,31,71,72,72,70,10,7,14,7,15,
Unai Garc?a,72,73,2200000,18000,28,186,81,479,1,RCB,4,45,,,3,2,1,4800000,60,41,59,54,73,75,54,39,72,72,27,45,26,47,62,66,57,62,50,60,58,57,87,82,74,31,67,73,39,51,42,63,68,77,74,12,13,9,8,9,
C. Brunner,72,72,2300000,16000,27,180,75,159,1,RB,27,47,,,4,2,1,4100000,74,56,62,65,71,69,65,54,60,68,32,63,59,32,59,66,68,79,63,68,73,66,79,76,67,63,65,73,53,59,39,63,73,73,66,8,7,10,10,15,
Filipe Ferreira,72,72,2000000,10000,30,178,70,1898,1,SUB,20,38,,,3,3,1,4200000,72,53,65,68,67,69,73,48,56,68,40,66,66,56,61,70,73,72,70,72,72,68,74,74,65,53,70,69,58,59,53,70,67,67,70,12,10,14,15,13,
Marlon,72,77,3100000,650,25,182,80,101059,1,RCB,5,54,,,3,3,1,6700000,64,44,59,66,73,71,43,40,71,71,33,64,57,46,68,71,63,65,59,65,59,61,61,62,75,36,75,73,36,51,58,66,74,72,74,8,15,16,13,12,
C. Strandberg,72,75,3100000,16000,25,187,90,113222,1,ST,99,46,,,3,2,1,5300000,82,73,53,63,25,79,50,76,62,59,68,65,42,31,46,67,73,89,42,68,50,79,76,76,90,67,58,13,71,59,61,68,23,26,16,9,12,9,15,13,
D. Musto,72,72,800000,850,34,182,80,101110,1,SUB,46,52,,,3,2,1,1700000,44,49,65,61,69,75,54,34,68,77,32,60,35,50,74,64,40,48,49,73,61,70,64,69,76,65,81,68,59,59,40,55,66,75,63,11,14,9,14,9,
R. Dugimont,72,72,950000,5000,35,182,75,57,2,SUB,21,18,,,3,3,1,1700000,59,75,70,71,40,82,72,77,74,73,69,72,68,69,67,71,56,62,78,60,62,75,79,91,83,74,70,39,77,68,70,68,46,29,26,6,7,11,12,12,
P. Mwene,72,72,2300000,12000,27,172,68,247,1,RB,29,4,1322,22,4,3,1,3200000,78,43,61,71,66,60,72,42,38,68,34,69,53,46,53,68,83,73,82,67,88,48,71,75,52,39,59,70,59,49,42,64,68,69,71,12,9,11,9,7,
A. Gunn,72,76,2600000,17000,25,196,77,1792,1,SUB,28,14,,,3,1,1,5400000,,,,,,,14,15,14,32,19,20,20,15,41,27,48,49,40,67,42,52,64,31,66,17,28,22,14,51,25,49,20,16,14,73,70,69,69,74,48
P. Gerkens,72,74,2900000,15000,26,180,72,230,1,LDM,16,7,,,3,3,1,4600000,57,70,70,70,65,71,71,71,77,72,64,68,62,63,69,70,61,54,68,78,79,71,83,94,58,69,72,67,79,72,67,73,63,63,57,12,10,10,9,13,
D. Antoli?,72,72,2200000,16000,30,180,73,113217,1,SUB,17,10,,,3,2,1,3600000,60,69,74,69,68,69,75,67,59,76,65,68,65,68,75,71,59,61,62,71,68,72,51,72,69,68,72,74,69,70,78,70,67,68,66,13,14,12,12,8,
Erik,72,73,2800000,9000,26,170,70,111769,1,LM,11,54,,,4,3,1,4600000,83,72,65,74,23,56,62,72,64,71,71,75,56,43,62,72,85,81,85,69,80,73,81,70,59,70,26,17,73,65,67,62,22,16,21,14,9,13,9,11,
D. Hotto,72,72,2300000,850,30,170,65,110930,1,LW,11,131,,,4,3,1,5100000,81,73,73,71,29,61,76,74,56,74,66,71,65,72,75,67,83,79,81,61,85,73,83,68,60,73,47,29,74,67,62,73,25,25,23,16,9,7,8,10,
Carlos Man?,72,72,2500000,12000,27,173,63,101020,1,SUB,20,38,,,2,4,1,5000000,88,68,65,78,41,47,65,65,64,66,72,80,81,42,60,71,90,87,90,65,90,77,66,62,35,66,55,49,65,69,65,73,38,34,33,16,14,10,9,11,
J. Abella,72,73,2500000,10000,27,176,74,101114,1,SUB,4,83,,,2,2,1,4400000,73,49,63,62,67,66,67,42,59,69,38,57,55,44,61,67,74,72,68,67,66,62,66,82,60,50,60,69,63,56,46,65,65,70,70,9,10,12,16,15,
L. Lerager,72,72,2500000,15000,27,188,85,819,1,SUB,12,13,,,3,3,1,3300000,55,66,68,68,70,74,62,66,73,75,63,68,49,43,71,72,54,55,60,72,53,70,76,81,70,67,76,74,70,72,48,68,67,70,66,7,7,14,13,13,
Sandro,72,75,3100000,10000,25,175,71,1860,1,LS,12,45,,,4,3,2,,64,75,65,76,30,62,65,70,62,68,74,77,80,76,59,78,68,60,76,73,73,84,67,54,66,76,62,33,77,56,69,65,25,25,24,12,16,10,6,8,
A. Mart?n Arias,72,74,2000000,2000,28,185,79,112535,1,GK,1,52,,,3,1,1,2900000,,,,,,,20,19,14,29,12,18,17,14,22,22,58,44,44,71,57,51,75,35,62,15,28,27,19,28,23,35,20,18,16,73,69,68,70,75,52
J. Laurent,72,75,2800000,19000,26,188,76,1793,2,LDM,28,14,,,3,3,1,5500000,77,60,64,70,69,83,59,59,64,68,53,70,56,45,68,72,76,78,72,67,64,65,75,90,83,63,78,69,62,66,51,70,67,71,69,14,8,12,14,16,
C. Arango,72,73,2800000,7000,26,178,78,112996,1,ST,29,56,,,3,3,1,4400000,74,72,64,72,33,67,45,77,70,67,59,74,73,69,65,73,73,74,68,68,66,70,67,59,74,69,57,23,68,71,70,59,44,21,16,6,14,9,6,13,
J. Byrne,72,75,3100000,1000,25,175,73,100135,1,SUB,29,25,1355,21,3,3,1,7100000,75,68,72,73,52,68,73,68,49,72,52,72,72,75,71,71,77,74,83,68,75,70,68,74,67,72,63,50,66,73,68,72,52,53,51,7,8,12,8,6,
S. Vittor,72,72,1500000,14000,32,189,86,113217,1,LCB,14,52,,,3,2,1,2500000,45,61,66,62,71,79,57,54,73,73,53,62,51,72,73,70,38,50,46,71,34,75,71,75,84,67,74,70,58,60,62,68,71,72,72,9,13,14,9,16,
J. Izquierdo,72,72,2400000,18000,28,171,75,231,1,SUB,87,56,,,3,4,2,3400000,80,68,67,76,38,48,72,63,60,69,56,75,75,34,61,75,84,77,86,63,85,78,63,51,53,75,27,39,70,69,58,68,49,21,30,13,8,12,7,13,
Camarasa,72,73,2700000,16000,27,183,77,449,1,SUB,22,45,,,3,3,1,5900000,58,72,72,73,68,72,68,70,55,73,65,73,65,73,71,74,60,56,71,72,67,80,72,73,73,72,70,70,71,74,70,70,70,70,68,14,9,11,11,8,
Cantero,72,77,2700000,7000,26,189,82,467,2,GK,1,45,,,3,1,1,4500000,,,,,,,19,12,18,35,13,22,25,12,38,21,61,57,69,61,58,50,67,45,75,14,24,22,16,33,25,43,12,12,19,71,74,67,72,73,59
C. Hountondji,72,74,2500000,13000,27,195,81,1815,1,RCB,4,99,,,2,2,1,5200000,41,33,52,56,73,72,47,28,70,68,30,49,39,35,58,68,38,43,52,69,32,48,43,56,84,29,69,74,25,34,45,68,73,75,70,6,11,10,15,15,
Marcos Mauro,72,72,1900000,19000,30,190,84,1968,1,SUB,4,52,,,3,2,1,4200000,55,42,55,54,73,72,45,39,77,73,37,51,36,39,62,64,54,56,32,64,55,50,70,66,76,45,70,68,35,36,38,52,73,76,73,16,11,9,11,12,
Bruno Varela,72,74,2200000,6000,26,191,88,1887,1,SUB,14,38,,,3,1,1,4800000,,,,,,,20,16,16,31,12,19,20,13,25,25,37,43,59,67,43,47,51,44,73,18,23,17,14,52,24,33,15,12,20,74,69,63,72,75,39
T. Didillon,72,76,2600000,7000,25,189,88,1750,1,GK,1,18,,,2,1,1,4000000,,,,,,,21,13,15,25,14,13,19,15,28,22,57,54,55,66,33,50,57,25,67,16,27,14,9,40,22,37,13,18,20,74,68,66,73,74,56
M. Aramu,72,73,2800000,15000,26,180,69,205,1,RES,10,27,,,3,3,1,5300000,74,63,70,74,52,60,66,57,53,72,65,74,70,73,68,75,69,78,80,68,74,70,55,69,59,68,50,48,74,72,60,70,56,52,48,8,6,12,7,15,
S. Scuffet,72,75,2400000,650,25,193,77,100135,1,GK,22,27,,,2,1,2,5500000,,,,,,,20,20,18,30,20,13,20,22,34,21,50,50,60,68,45,45,70,40,65,16,35,18,12,33,18,61,15,24,18,72,69,60,70,79,50
G. Tutino,72,77,3600000,21000,24,177,76,50,2,ST,9,27,,,3,3,1,6800000,77,72,71,75,35,64,70,70,65,72,72,76,72,71,68,75,77,77,76,74,73,75,73,68,66,71,52,25,72,72,75,59,34,34,34,15,7,7,13,7,
J. Sornoza,72,73,2700000,850,27,170,66,112908,1,LM,11,57,,,3,3,1,6000000,72,68,72,72,40,47,68,68,43,73,59,71,70,71,71,73,73,71,70,66,94,67,63,70,37,68,40,26,71,78,73,61,62,29,30,14,11,7,8,12,
A. ?olak,72,72,2500000,1000,27,188,81,320,1,ST,9,10,,,4,3,1,,71,73,55,67,34,76,47,77,72,63,70,66,51,38,42,69,67,74,64,72,55,69,71,78,77,71,71,28,76,63,64,68,32,31,20,16,7,12,7,10,
J. Narv?ez,72,75,3100000,9000,26,180,76,244,2,LS,7,56,,,3,3,1,5200000,78,73,66,74,55,67,65,72,67,70,61,75,67,42,68,74,77,79,74,63,76,76,69,66,74,76,49,58,68,65,69,66,43,61,52,10,12,12,11,14,
A. El Messaoudi,72,75,3100000,11000,25,184,83,110776,1,SUB,18,129,,,3,3,1,6400000,65,71,66,75,64,77,50,71,72,73,55,77,47,59,73,77,61,69,63,66,74,78,69,75,83,72,68,65,70,69,48,69,63,63,61,10,9,13,6,7,
R. Vloet,72,74,2900000,7000,26,188,75,100634,1,CAM,10,34,,,4,3,1,4400000,66,73,70,70,49,75,65,76,68,73,67,72,67,65,66,73,62,69,63,67,59,74,62,87,72,67,71,45,76,74,74,69,59,42,33,13,9,15,7,16,
G. Poblete,72,72,2100000,11000,28,173,71,101088,1,SUB,16,52,,,4,2,1,3200000,67,51,65,68,67,76,52,47,54,74,41,65,55,40,72,69,68,67,77,65,76,59,80,84,70,57,82,70,45,67,54,58,72,66,62,6,12,13,6,8,
J. Stacey,72,77,3200000,21000,25,178,62,1943,2,SUB,17,14,,,3,3,1,6300000,75,55,66,70,68,69,72,51,64,69,45,71,59,40,61,70,74,75,73,67,70,62,69,78,66,56,65,66,67,65,47,65,68,71,69,6,11,11,13,13,
M. Al Buraik,72,72,2100000,25000,28,173,61,605,1,RB,2,183,,,3,3,1,3600000,80,57,71,69,64,67,78,55,54,69,43,69,70,69,68,72,76,84,65,64,74,64,81,84,60,53,60,65,76,71,55,65,65,65,69,10,9,10,7,9,
R. Hollingshead,72,72,2000000,6000,30,185,82,695,1,LB,12,95,,,4,3,1,3000000,58,63,66,69,70,78,65,61,74,71,40,72,59,39,67,70,52,63,61,72,57,76,84,84,76,62,74,70,66,65,49,69,68,72,69,23,17,18,23,17,
N. Leiva,72,78,3700000,7000,24,176,70,260,2,SUB,17,45,,,3,4,1,6700000,83,70,68,73,27,60,66,70,44,68,66,71,71,72,64,70,84,82,85,67,88,73,72,73,55,71,51,35,65,71,59,71,25,22,17,8,11,12,12,13,
M. Clarke,72,76,3000000,29000,24,185,83,109,2,LCB,16,14,,,3,3,1,,53,37,54,62,72,81,45,30,73,62,36,64,36,36,60,61,51,55,47,66,65,57,73,73,86,33,78,70,47,53,34,74,72,72,70,11,6,14,12,11,
E. Crivelli,72,74,2900000,27000,26,184,84,741,1,SUB,17,18,,,3,2,1,,63,70,62,67,36,85,53,69,78,70,69,67,59,49,59,71,56,69,61,74,45,78,78,80,87,64,87,25,75,63,62,68,34,34,23,6,12,13,15,9,
M. Sobottka,72,73,2400000,16000,27,185,75,110636,2,RDM,31,21,,,3,2,1,4000000,71,57,63,66,71,74,58,56,60,72,51,65,46,44,67,68,66,75,65,69,65,62,72,77,74,57,72,71,56,58,45,72,72,73,71,11,13,13,7,14,
E. Thommy,72,72,2600000,19000,26,175,71,36,1,RES,11,21,,,3,3,1,4700000,76,70,71,75,33,50,77,69,49,70,65,75,76,72,62,73,81,72,86,66,81,73,51,60,51,74,37,27,66,71,57,62,28,37,31,6,11,16,8,15,
C. Gruezo,72,75,2800000,16000,26,173,71,100409,1,SUB,8,57,,,3,2,1,5300000,61,46,61,67,68,73,43,41,54,72,37,60,48,47,69,70,68,55,78,69,85,61,69,73,69,42,86,69,55,58,49,65,68,71,73,9,10,12,12,11,
J. Fulton,72,74,2500000,19000,27,182,78,1960,2,RCM,6,42,,,3,3,1,4900000,65,55,62,68,72,75,54,53,69,70,45,65,49,33,68,72,67,64,69,64,67,67,59,70,76,50,82,71,57,63,51,67,70,75,75,11,11,8,11,7,
L. Morgan,72,76,3400000,6000,24,178,75,112893,1,RM,7,42,,,5,3,1,5400000,84,65,69,72,52,64,74,63,41,68,57,73,73,70,58,69,86,82,85,65,71,70,47,85,58,66,56,38,65,72,61,65,56,60,53,14,6,8,7,13,
Kang Hyeon Mu,72,74,2200000,5000,26,185,78,1474,1,GK,31,167,,,3,1,1,2900000,,,,,,,14,16,19,29,12,20,19,19,22,10,42,47,32,68,56,49,51,27,32,13,25,23,15,64,25,50,23,20,15,73,67,65,70,78,44
P. Michorl,72,74,2900000,19000,26,176,71,252,1,LCM,8,4,,,2,2,1,4600000,67,66,75,72,65,67,78,60,55,75,64,70,79,74,73,73,68,66,72,71,77,74,64,85,61,72,60,68,62,75,63,75,66,66,58,10,11,9,9,16,
L. Di Pl?cido,72,73,2500000,12000,27,176,72,110395,1,SUB,26,52,,,2,3,1,3900000,86,60,63,74,65,72,70,57,48,65,55,76,59,49,63,72,87,85,79,63,75,69,76,83,66,63,71,65,59,57,53,58,62,70,72,10,16,10,11,7,
Cao Yunding,72,72,1900000,12000,31,173,70,110955,1,LM,28,155,,,3,3,1,2900000,84,64,71,70,34,66,74,63,62,69,56,68,64,67,70,69,83,85,83,67,77,66,73,72,64,64,64,35,70,73,60,67,31,28,32,9,10,9,15,15,
J. Prior,72,75,2400000,5000,25,187,86,100851,2,SUB,13,18,,,3,1,1,4000000,,,,,,,13,16,15,38,17,18,16,16,40,22,48,55,35,64,51,51,61,30,78,17,40,25,15,48,14,59,10,14,13,71,69,68,71,76,51
B. Mensah,72,75,3100000,11000,26,180,65,101020,1,CAM,43,117,,,3,4,1,6400000,77,70,71,74,62,70,64,68,62,74,49,75,77,76,69,76,80,75,75,65,68,80,61,72,72,71,63,65,67,72,59,69,66,62,42,15,13,12,10,11,
Sivera,72,78,3000000,10000,24,184,75,463,1,SUB,13,45,,,3,1,1,7200000,,,,,,,22,15,14,32,16,14,26,12,34,26,58,55,61,67,53,51,69,42,62,12,25,24,16,48,24,53,13,17,12,72,70,68,73,72,57
O. H?sing,72,72,2000000,17000,28,193,92,111235,2,LCB,5,21,,,2,2,1,3200000,47,32,46,50,73,77,38,24,76,61,31,45,29,30,37,57,34,57,43,64,42,55,63,58,90,25,74,70,28,45,43,67,75,73,71,16,13,14,13,11,
L. Zingerle,72,73,2000000,9000,27,185,78,10030,2,SUB,17,21,,,3,1,1,3400000,,,,,,,11,7,10,28,8,9,11,12,13,20,38,47,38,68,51,50,64,34,54,6,21,11,8,40,15,47,11,9,10,70,69,67,72,75,42
S. Griesbeck,72,72,2000000,16000,30,189,85,165,1,CDM,22,21,,,3,2,1,3600000,64,47,60,56,73,83,52,39,67,69,41,57,40,41,67,53,54,73,53,68,52,60,55,86,83,53,84,71,46,55,46,65,75,73,75,7,12,12,11,13,
Kang Sang Woo,72,73,2500000,6000,27,176,62,1474,1,LB,10,167,,,3,3,1,3300000,82,64,70,68,65,62,74,62,50,70,45,68,68,72,62,64,81,83,82,68,74,79,37,86,64,58,33,67,72,71,60,61,67,67,65,12,16,15,12,9,
R. Ledson,72,77,3200000,19000,23,175,69,1801,2,LCM,18,14,,,2,2,1,6300000,64,55,70,66,67,74,64,55,58,74,45,63,66,64,73,69,62,65,68,67,70,59,67,83,65,52,87,68,57,67,53,70,66,70,68,14,16,16,8,11,
A. Blin,72,74,2700000,3000,24,184,78,347,2,CM,29,18,,,3,2,1,4500000,40,55,66,64,70,77,62,52,58,70,48,62,65,46,67,65,44,36,64,74,67,60,70,86,73,55,78,71,62,69,52,68,71,71,70,13,6,8,10,8,
H. Yamaguchi,72,72,2000000,7000,30,173,72,101146,1,LCM,5,163,,,3,3,1,2600000,77,68,68,70,68,72,57,67,47,73,63,68,64,66,71,70,78,76,78,69,73,73,76,84,68,68,68,76,62,70,58,75,68,69,65,11,15,8,7,9,
?. ?ahiner,72,72,2300000,26000,29,175,70,101014,1,RB,42,48,,,3,3,1,4600000,81,67,68,73,63,71,70,62,52,69,66,71,76,71,66,72,80,81,81,71,81,75,80,82,63,73,74,64,69,65,63,72,58,69,69,13,12,10,13,9,
